52,KHM,Cambodia,KHM01,Banteay Meanchey,KHM0102,Mongkol Borei,KHM010209,Ruessei Kraok
53,KHM,Cambodia,KHM01,Banteay Meanchey,KHM0104,Preah Netr Preah,KHM010404,Prasat
54,KHM,Cambodia,KHM01,Banteay Meanchey,KHM0102,Mongkol Borei,KHM010202,Bat Trang
55,KHM,Cambodia,KHM01,Banteay Meanchey,KHM0102,Mongkol Borei,KHM010213,Ta Lam
56,KHM,Cambodia,KHM01,Banteay Meanchey,KHM0102,Mongkol Borei,KHM010201,Banteay Neang
57,KHM,Cambodia,KHM01,Banteay Meanchey,KHM0102,Mongkol Borei,KHM010208,Rohat Tuek
58,KHM,Cambodia,KHM01,Banteay Meanchey,KHM0102,Mongkol Borei,KHM010212,Srah Reang
59,KHM,Cambodia,KHM01,Banteay Meanchey,KHM0102,Mongkol Borei,KHM010206,Ou Prasat
60,KHM,Cambodia,KHM01,Banteay Meanchey,KHM0102,Mongkol Borei,KHM010203,Chamnaom
61,KHM,Cambodia,KHM01,Banteay Meanchey,KHM0102,Mongkol Borei,KHM010204,Kouk Ballangk
62,KHM,Cambodia,KHM01,Banteay Meanchey,KHM0102,Mongkol Borei,KHM010211,Soea
63,KHM,Cambodia,KHM01,Banteay Meanchey,KHM0102,Mongkol Borei,KHM010210,Sambuor
64,KHM,Cambodia,KHM01,Banteay Meanchey,KHM0102,Mongkol Borei,KHM010207,Phnum Touch
65,KHM,Cambodia,KHM02,Battambang,KHM0204,Bavel,KHM020404,Prey Khpos
66,KHM,Cambodia,KHM02,Battambang,KHM0202,Thma Koul,KHM020207,Boeng Pring
67,KHM,Cambodia,KHM02,Battambang,KHM0202,Thma Koul,KHM020206,Chrouy Sdau
68,KHM,Cambodia,KHM02,Battambang,KHM0205,Aek Phnum,KHM020506,Prey Chas
69,KHM,Cambodia,KHM02,Battambang,KHM0204,Bavel,KHM020403,Lvea
70,KHM,Cambodia,KHM02,Battambang,KHM0204,Bavel,KHM020405,Ampil Pram Daeum
71,KHM,Cambodia,KHM02,Battambang,KHM0202,Thma Koul,KHM020202,Ta Meun
72,KHM,Cambodia,KHM02,Battambang,KHM0202,Thma Koul,KHM020210,Rung Chrey
73,KHM,Cambodia,KHM02,Battambang,KHM0205,Aek Phnum,KHM020507,Kaoh Chiveang
74,KHM,Cambodia,KHM02,Battambang,KHM0202,Thma Koul,KHM020201,Ta Pung
75,KHM,Cambodia,KHM02,Battambang,KHM0204,Bavel,KHM020402,Khnach Romeas
76,KHM,Cambodia,KHM02,Battambang,KHM0202,Thma Koul,KHM020209,Bansay Traeng
77,KHM,Cambodia,KHM02,Battambang,KHM0202,Thma Koul,KHM020208,Kouk Khmum
78,KHM,Cambodia,KHM02,Battambang,KHM0204,Bavel,KHM020401,Bavel
79,KHM,Cambodia,KHM02,Battambang,KHM0205,Aek Phnum,KHM020505,Peam Aek
80,KHM,Cambodia,KHM02,Battambang,KHM0205,Aek Phnum,KHM020501,Preaek Norint
81,KHM,Cambodia,KHM02,Battambang,KHM0205,Aek Phnum,KHM020504,Preaek Luong
82,KHM,Cambodia,KHM02,Battambang,KHM0208,Sangkae,KHM020803,Ta Pon
83,KHM,Cambodia,KHM02,Battambang,KHM0204,Bavel,KHM020406,Kdol Ta Haen
84,KHM,Cambodia,KHM02,Battambang,KHM0202,Thma Koul,KHM020203,Ou Ta Ki
85,KHM,Cambodia,KHM02,Battambang,KHM0212,Kamrieng,KHM021205,Ta Saen
86,KHM,Cambodia,KHM02,Battambang,KHM0212,Kamrieng,KHM021206,Ta Krei
87,KHM,Cambodia,KHM02,Battambang,KHM0202,Thma Koul,KHM020205,Anlong Run
88,KHM,Cambodia,KHM02,Battambang,KHM0205,Aek Phnum,KHM020503,Preaek Khpob
89,KHM,Cambodia,KHM02,Battambang,KHM0212,Kamrieng,KHM021204,Trang
90,KHM,Cambodia,KHM02,Battambang,KHM0203,Krong Battambang,KHM020306,Kdol Doun Teav
91,KHM,Cambodia,KHM02,Battambang,KHM0208,Sangkae,KHM020804,Roka
92,KHM,Cambodia,KHM02,Battambang,KHM0212,Kamrieng,KHM021203,Ou Da
93,KHM,Cambodia,KHM02,Battambang,KHM0205,Aek Phnum,KHM020502,Samraong Knong
94,KHM,Cambodia,KHM02,Battambang,KHM0202,Thma Koul,KHM020204,Chrey
95,KHM,Cambodia,KHM02,Battambang,KHM0212,Kamrieng,KHM021202,Boeng Reang
96,KHM,Cambodia,KHM02,Battambang,KHM0203,Krong Battambang,KHM020305,Sla Kaet
97,KHM,Cambodia,KHM02,Battambang,KHM0201,Banan,KHM020108,Ta Kream
98,KHM,Cambodia,KHM02,Battambang,KHM0208,Sangkae,KHM020805,Kampong Preah
99,KHM,Cambodia,KHM02,Battambang,KHM0203,Krong Battambang,KHM020304,Chamkar Samraong
100,KHM,Cambodia,KHM02,Battambang,KHM0208,Sangkae,KHM020802,Norea
101,KHM,Cambodia,KHM02,Battambang,KHM0203,Krong Battambang,KHM020309,Ou Char
102,KHM,Cambodia,KHM02,Battambang,KHM0203,Krong Battambang,KHM020303,Rotanak
103,KHM,Cambodia,KHM02,Battambang,KHM0207,Rotonak Mondol,KHM020701,Sdau
104,KHM,Cambodia,KHM02,Battambang,KHM0203,Krong Battambang,KHM020310,Svay Pao
105,KHM,Cambodia,KHM02,Battambang,KHM0208,Sangkae,KHM020801,Anlong Vil
106,KHM,Cambodia,KHM02,Battambang,KHM0203,Krong Battambang,KHM020301,Tuol Ta Aek
107,KHM,Cambodia,KHM02,Battambang,KHM0206,Moung Ruessei,KHM020605,Chrey
108,KHM,Cambodia,KHM02,Battambang,KHM0203,Krong Battambang,KHM020302,Preaek Preah Sdach
109,KHM,Cambodia,KHM02,Battambang,KHM0203,Krong Battambang,KHM020307,Ou Mal
110,KHM,Cambodia,KHM02,Battambang,KHM0203,Krong Battambang,KHM020308,Voat Kor
111,KHM,Cambodia,KHM02,Battambang,KHM0208,Sangkae,KHM020809,Ou Dambang Pir
112,KHM,Cambodia,KHM02,Battambang,KHM0208,Sangkae,KHM020808,Ou Dambang Muoy
113,KHM,Cambodia,KHM02,Battambang,KHM0212,Kamrieng,KHM021201,Kamrieng
114,KHM,Cambodia,KHM02,Battambang,KHM0208,Sangkae,KHM020806,Kampong Pring
115,KHM,Cambodia,KHM02,Battambang,KHM0208,Sangkae,KHM020810,Voat Ta Muem
116,KHM,Cambodia,KHM02,Battambang,KHM0201,Banan,KHM020106,Phnum Sampov
117,KHM,Cambodia,KHM02,Battambang,KHM0201,Banan,KHM020104,Chheu Teal
118,KHM,Cambodia,KHM02,Battambang,KHM0201,Banan,KHM020107,Snoeng
119,KHM,Cambodia,KHM02,Battambang,KHM0208,Sangkae,KHM020807,Reang Kesei
120,KHM,Cambodia,KHM02,Battambang,KHM0201,Banan,KHM020103,Bay Damram
121,KHM,Cambodia,KHM02,Battambang,KHM0206,Moung Ruessei,KHM020606,Ta Loas
122,KHM,Cambodia,KHM02,Battambang,KHM0206,Moung Ruessei,KHM020608,Prey Touch
123,KHM,Cambodia,KHM02,Battambang,KHM0207,Rotonak Mondol,KHM020704,Traeng
124,KHM,Cambodia,KHM02,Battambang,KHM0201,Banan,KHM020102,Kantueu Pir
125,KHM,Cambodia,KHM02,Battambang,KHM0206,Moung Ruessei,KHM020607,Kakaoh
126,KHM,Cambodia,KHM02,Battambang,KHM0201,Banan,KHM020101,Kantueu Muoy
127,KHM,Cambodia,KHM02,Battambang,KHM0201,Banan,KHM020105,Chaeng Mean Chey
128,KHM,Cambodia,KHM02,Battambang,KHM0213,Koas Krala,KHM021301,Thipakdei
129,KHM,Cambodia,KHM02,Battambang,KHM0207,Rotonak Mondol,KHM020702,Andaeuk Haeb
130,KHM,Cambodia,KHM02,Battambang,KHM0206,Moung Ruessei,KHM020604,Ruessei Krang
131,KHM,Cambodia,KHM02,Battambang,KHM0213,Koas Krala,KHM021303,Hab
132,KHM,Cambodia,KHM02,Battambang,KHM0207,Rotonak Mondol,KHM020703,Phlov Meas
133,KHM,Cambodia,KHM02,Battambang,KHM0206,Moung Ruessei,KHM020602,Kear
134,KHM,Cambodia,KHM02,Battambang,KHM0213,Koas Krala,KHM021305,Doun Ba
135,KHM,Cambodia,KHM02,Battambang,KHM0206,Moung Ruessei,KHM020601,Moung
136,KHM,Cambodia,KHM02,Battambang,KHM0213,Koas Krala,KHM021302,Koas Krala
137,KHM,Cambodia,KHM02,Battambang,KHM0206,Moung Ruessei,KHM020603,Prey Svay
138,KHM,Cambodia,KHM02,Battambang,KHM0213,Koas Krala,KHM021304,Preah Phos
139,KHM,Cambodia,KHM02,Battambang,KHM0206,Moung Ruessei,KHM020609,Robas Mongkol
140,KHM,Cambodia,KHM02,Battambang,KHM0209,Samlout,KHM020906,Mean Chey
141,KHM,Cambodia,KHM02,Battambang,KHM0209,Samlout,KHM020903,Ou Samrel
142,KHM,Cambodia,KHM02,Battambang,KHM0213,Koas Krala,KHM021306,Chhnal Mean
143,KHM,Cambodia,KHM02,Battambang,KHM0209,Samlout,KHM020907,Ta Sanh
144,KHM,Cambodia,KHM02,Battambang,KHM0209,Samlout,KHM020904,Sung
145,KHM,Cambodia,KHM02,Battambang,KHM0214,Rukhak Kiri,KHM021401,Preaek Chik
146,KHM,Cambodia,KHM02,Battambang,KHM0209,Samlout,KHM020902,Kampong Lpov
147,KHM,Cambodia,KHM02,Battambang,KHM0214,Rukhak Kiri,KHM021402,Prey Tralach
148,KHM,Cambodia,KHM02,Battambang,KHM0209,Samlout,KHM020901,Ta Taok
149,KHM,Cambodia,KHM02,Battambang,KHM0209,Samlout,KHM020905,Samlout
150,KHM,Cambodia,KHM02,Battambang,KHM0210,Sampov Lun,KHM021006,Chrey Seima
151,KHM,Cambodia,KHM02,Battambang,KHM0211,Phnom Proek,KHM021105,Ou Rumduol
152,KHM,Cambodia,KHM02,Battambang,KHM0210,Sampov Lun,KHM021002,Angkor Ban
153,KHM,Cambodia,KHM02,Battambang,KHM0210,Sampov Lun,KHM021001,Sampov Lun
154,KHM,Cambodia,KHM02,Battambang,KHM0210,Sampov Lun,KHM021003,Ta Sda
155,KHM,Cambodia,KHM02,Battambang,KHM0210,Sampov Lun,KHM021004,Santepheap
156,KHM,Cambodia,KHM02,Battambang,KHM0210,Sampov Lun,KHM021005,Serei Mean Chey
157,KHM,Cambodia,KHM02,Battambang,KHM0211,Phnom Proek,KHM021103,Chak Krey
158,KHM,Cambodia,KHM02,Battambang,KHM0211,Phnom Proek,KHM021104,Barang Thleak
159,KHM,Cambodia,KHM02,Battambang,KHM0211,Phnom Proek,KHM021101,Phnom Proek
160,KHM,Cambodia,KHM02,Battambang,KHM0211,Phnom Proek,KHM021102,Pech Chenda
161,KHM,Cambodia,KHM03,Kampong Cham,KHM0301,Batheay,KHM030111,Trab
162,KHM,Cambodia,KHM03,Kampong Cham,KHM0301,Batheay,KHM030108,Sandaek
163,KHM,Cambodia,KHM03,Kampong Cham,KHM0301,Batheay,KHM030110,Tang Krasang
164,KHM,Cambodia,KHM03,Kampong Cham,KHM0301,Batheay,KHM030112,Tumnob
165,KHM,Cambodia,KHM03,Kampong Cham,KHM0301,Batheay,KHM030104,Cheung Prey
166,KHM,Cambodia,KHM03,Kampong Cham,KHM0301,Batheay,KHM030105,Me Pring
167,KHM,Cambodia,KHM03,Kampong Cham,KHM0301,Batheay,KHM030106,Ph'av
168,KHM,Cambodia,KHM03,Kampong Cham,KHM0301,Batheay,KHM030101,Batheay
169,KHM,Cambodia,KHM03,Kampong Cham,KHM0301,Batheay,KHM030102,Chbar Ampov
170,KHM,Cambodia,KHM03,Kampong Cham,KHM0301,Batheay,KHM030103,Chealea
171,KHM,Cambodia,KHM03,Kampong Cham,KHM0301,Batheay,KHM030107,Sambour
172,KHM,Cambodia,KHM03,Kampong Cham,KHM0301,Batheay,KHM030109,Tang Krang
173,KHM,Cambodia,KHM03,Kampong Cham,KHM0302,Chamkar Leu,KHM030208,Ta Prok
174,KHM,Cambodia,KHM03,Kampong Cham,KHM0302,Chamkar Leu,KHM030202,Chamkar Andoung
175,KHM,Cambodia,KHM03,Kampong Cham,KHM0302,Chamkar Leu,KHM030204,Lvea Leu
176,KHM,Cambodia,KHM03,Kampong Cham,KHM0302,Chamkar Leu,KHM030205,Spueu
177,KHM,Cambodia,KHM03,Kampong Cham,KHM0302,Chamkar Leu,KHM030203,Cheyyou
178,KHM,Cambodia,KHM03,Kampong Cham,KHM0302,Chamkar Leu,KHM030206,Svay Teab
179,KHM,Cambodia,KHM03,Kampong Cham,KHM0302,Chamkar Leu,KHM030207,Ta Ong
180,KHM,Cambodia,KHM03,Kampong Cham,KHM0302,Chamkar Leu,KHM030201,Bos Khnaor
181,KHM,Cambodia,KHM03,Kampong Cham,KHM0303,Cheung Prey,KHM030305,Pring Chrum
182,KHM,Cambodia,KHM03,Kampong Cham,KHM0303,Cheung Prey,KHM030306,Sampong Chey
183,KHM,Cambodia,KHM03,Kampong Cham,KHM0303,Cheung Prey,KHM030307,Sdaeung Chey
184,KHM,Cambodia,KHM03,Kampong Cham,KHM0303,Cheung Prey,KHM030310,Trapeang Kor
185,KHM,Cambodia,KHM03,Kampong Cham,KHM0303,Cheung Prey,KHM030309,Srama
186,KHM,Cambodia,KHM03,Kampong Cham,KHM0303,Cheung Prey,KHM030303,Phdau Chum
187,KHM,Cambodia,KHM03,Kampong Cham,KHM0303,Cheung Prey,KHM030302,Kouk Rovieng
188,KHM,Cambodia,KHM03,Kampong Cham,KHM0303,Cheung Prey,KHM030308,Soutip
189,KHM,Cambodia,KHM03,Kampong Cham,KHM0303,Cheung Prey,KHM030301,Khnaor Dambang
190,KHM,Cambodia,KHM03,Kampong Cham,KHM0303,Cheung Prey,KHM030304,Prey Char
191,KHM,Cambodia,KHM03,Kampong Cham,KHM0304,Dambae,KHM030405,Seda
192,KHM,Cambodia,KHM03,Kampong Cham,KHM0304,Dambae,KHM030407,Trapeang Pring
193,KHM,Cambodia,KHM03,Kampong Cham,KHM0304,Dambae,KHM030402,Dambae
194,KHM,Cambodia,KHM03,Kampong Cham,KHM0304,Dambae,KHM030403,Kouk Srok
195,KHM,Cambodia,KHM03,Kampong Cham,KHM0304,Dambae,KHM030406,Tuek Chrov
196,KHM,Cambodia,KHM03,Kampong Cham,KHM0304,Dambae,KHM030401,Chong Cheach
